Website URL,Topics,Manual,Match,Empty
www.pronetais12.com,"['phone service providers', 'internet service providers (isps)']","['isps', 'consumer resources', 'coupons & discount offers', 'shopping', 'phone service providers', 'internet & telecom']",False,False
zerknij.tv,"['movie & tv streaming', 'tv & video']","['arts & entertainment', 'movies', 'online video', 'tv shows & programs']",False,False
www.police.rajasthan.gov.in,"['law & government', 'government & public sector jobs']","['news', 'legal', 'local news', 'law & government', 'crime & justice', 'legal services']",False,False
sudokukingdom.com,"['games', 'computer & video games', 'arts & entertainment']","['computer & video games', 'education', 'web apps & online tools', 'jobs & education', 'games', 'strategy games', 'internet & telecom']",False,False
www.super-rc.co.jp,"['toys', 'hobbies & leisure']","['legal', 'reference', 'web apps & online tools', 'educational resources', 'law & government', 'internet & telecom', 'legal services']",False,False
www.eurogamer.pl,"['computers & electronics', 'game systems & consoles', 'news']","['casual games', 'computer & video games', 'games']",False,False
www.lisablower.com,"['hobbies & leisure', 'travel & transportation']","['card games', 'entertainment industry', 'games', 'arts & entertainment', 'hobbies & leisure']",False,False
axislearning.axisbank.com,"['computer & video games', 'arts & entertainment']","['education', 'business & industrial', 'jobs & education']",False,False
sketch.metademolab.com,"['arts & entertainment', 'computer & video games']","['arts & entertainment', 'visual art & design', 'painting']",False,False
www.hadviser.com,"['fashion & style', 'hair care']","['beauty & fitness', 'reference', 'clean beauty', 'face & body care', 'how-to, diy & expert content', 'hair care']",False,False
www.loft.com,"['clothing accessories', ""women's clothing""]","['fashion & style', 'shopping', 'beauty & fitness', ""women's clothing""]",False,False
www.cosme.net,"['make-up & cosmetics', 'shopping']","['shopping', 'beauty & fitness', 'bath & body products', 'face & body care']",False,False
www.lnfs.es,"['sports', 'soccer', 'news']","['sports', 'soccer']",False,False
supertela.wf,"['tv & video', 'arts & entertainment']","['arts & entertainment', 'action & adventure films', 'online video', 'movies']",False,False
m.ybirds.com,['social networks'],"['real estate', 'timeshares & vacation properties', 'lots & land']",False,False
www.ledger.com,['lamps & lighting'],"['finance', 'financial planning & management']",False,False
icmai.in,"['law & government', 'accounting & auditing', 'business & industrial']","['accounting & auditing', 'finance', 'jobs & education', 'tax preparation & planning']",False,False
app.datadoghq.com,['business & productivity software'],"['distributed & cloud computing', 'computers & electronics', 'networking', 'software']",False,False
starpets.gg,"['roleplaying games', 'computer & video games']","['arts & entertainment', 'visual art & design', 'painting']",False,False
bombitup.net,"['internet & telecom', 'arts & entertainment']","['hobbies & leisure', 'web apps & online tools', 'internet & telecom']",False,False
pilotruca.com,['local news'],"['shopping', 'antiques & collectibles']",False,False
m.ome.tv,"['social networks', 'voice & video chat', 'online communities']","['people & society', 'web apps & online tools', 'social networks', 'internet & telecom', 'online communities']",False,False
www.fido.ca,['phone service providers'],"['internet & telecom', 'web apps & online tools', 'business & industrial']",False,False
mijnzakelijk.ing.nl,['arts & entertainment'],"['credit cards', 'finance', 'home financing']",False,False
www.emploi-collectivites.fr,['job listings'],"['jobs', 'career resources & planning', 'jobs & education']",False,False
hi.sexmithausfrauen.net,['people & society'],"['arts & entertainment', 'entertainment industry', 'online video']",False,False
www.bim.com.tr,"['food & drink', 'food service', 'mass merchants & department stores']","['home appliances', 'shopping', 'home & garden']",False,False
astrogame.org,"['computer & video games', 'arts & entertainment']","['casual games', 'computer & video games', 'simulation games', 'games']",False,False
www2.city.kyoto.lg.jp,['sports'],"['news', 'family travel', 'travel & transportation', 'tourist destinations', 'local news']",False,False
xat.com,"['social networks', 'internet & telecom', 'arts & entertainment', 'computer & video games']","['forum & chat providers', 'online communities']",False,False
www.tangrenjie.tv,['movie & tv streaming'],"['arts & entertainment', 'movies', 'online video']",False,False
www.tempstaff.co.jp,"['recruitment & staffing', 'job listings']","['jobs', 'jobs & education', 'job listings']",False,False
filmmakinesi1.com,"['movie & tv streaming', 'movies']","['arts & entertainment', 'movies', 'action & adventure films', 'online video']",False,False
www.dday.it,"['computers & electronics', 'news']","['computers & electronics', 'consumer electronics', 'computer peripherals', 'wearable technology']",False,False
home.gamer.com.tw,['computer & video games'],"['arts & entertainment', 'visual art & design', 'comics', 'painting']",False,False
www.avendrealouer.fr,"['real estate listings', 'shopping']","['real estate', 'home & garden', 'lots & land']",False,False
safer.fmcsa.dot.gov,"['autos & vehicles', 'law & government', 'business & industrial']","['legal', 'automotive industry', 'law & government', 'business & industrial']",False,False
bongda.wap.vn,"['sports', 'soccer', 'news']","['reference', 'sports', 'soccer']",False,False
fareharbor.com,"['travel & transportation', 'business & productivity software']","['internet & telecom', 'web apps & online tools', 'business & industrial', 'business operations', 'flexible work arrangements']",False,False
www.visitportugal.com,"['travel & transportation', 'beaches & islands']","['family travel', 'travel & transportation', 'hotels & accommodations']",False,False
ro.scribd.com,"['audiobooks', 'books & literature']","['books & literature', 'poetry', ""children's literature""]",False,False
www.zalando.sk,"['apparel', 'fashion & style', 'shopping']","[""men's clothing"", 'shopping', ""women's clothing""]",False,False
xxxxx520.cam,"['online communities', 'web services']","['computer & video games', 'simulation games', 'games', 'adventure games']",False,False
chromeunboxed.com,['software'],"['computers & electronics', 'online communities', 'laptops & notebooks', 'desktop computers']",False,False
www.watch.impress.co.jp,"['business news', 'computers & electronics', 'news']","['weather', 'news', 'local news']",False,False
us.i.mi.com,"['phone service providers', 'cloud storage']","['computers & electronics', 'networking', 'distributed & cloud computing']",False,False
www.mojedatovaschranka.cz,"['law & government', 'internet & telecom', 'arts & entertainment']","['legal', 'web apps & online tools', 'law & government', 'internet & telecom', 'legal services']",False,False
www.car-part.com,['vehicle parts & accessories'],"['automotive industry', 'business & industrial', 'shopping', 'vehicle shopping', 'autos & vehicles']",False,False
www.888casino.it,"['computer & video games', 'arts & entertainment']","['arts & entertainment', 'entertainment industry', 'games', 'card games']",False,False
www.antel.com.uy,['internet service providers (isps)'],"['shopping', 'consumer electronics', 'computers & electronics', 'wearable technology']",False,False
vipmanhouse.com,['travel & transportation'],"['shopping', 'home & garden', 'home & interior decor']",False,False
www.pleinchamp.com,"['business news', 'business & industrial']","['news', 'weather', 'agriculture & forestry', 'business & industrial', 'food production']",False,False
imkosmetik.com,['arts & entertainment'],"['make-up & cosmetics', 'beauty & fitness', 'bath & body products', 'face & body care']",False,False
www.bolabet.co.zm,"['computer & video games', 'arts & entertainment']","['arts & entertainment', 'entertainment industry', 'games', 'card games']",False,False
manhuascan.us,"['comics & animation', 'books & literature']","['arts & entertainment', 'visual art & design', 'comics', 'photographic & digital arts']",False,False
www.nespresso.com,"['food & drink', 'coffee & espresso makers']","['home appliances', 'household supplies', 'home & garden']",False,False
rakbank.ae,"['banking', 'credit & lending']","['accounting & auditing', 'finance', 'retirement & pension', 'financial planning & management']",False,False
www.fringecapybara.com,"['books & literature', 'comics & animation']","['online communities', 'forum & chat providers', 'books & literature']",False,False
www.kalendarzswiat.pl,['holidays & seasonal events'],"['internet & telecom', 'web apps & online tools', 'reference']",False,False
motocykle.bazos.sk,"['shopping', 'motorcycles']","['used vehicles', 'business & industrial', 'automotive industry', 'vehicle shopping', 'autos & vehicles']",False,False
www.eventseye.com,"['events & listings', 'expos & conventions']","['reference', 'web apps & online tools', 'internet & telecom']",False,False
www.rado.com,['travel agencies & services'],"['shopping', 'antiques & collectibles']",False,False
dgt.gov.in,"['law & government', 'education']","['forum & chat providers', 'education', 'colleges & universities', 'jobs & education', 'online communities']",False,False
booking-dp.lastminute.de,['travel agencies & services'],"['travel & transportation', 'air travel', 'low cost & last minute travel']",False,False
www.nikon.co.in,['camera & photo equipment'],"['arts & entertainment', 'shopping', 'visual art & design', 'photographic & digital arts']",False,False
www.doviz.com,['business news'],"['business & industrial', 'economy news', 'news', 'mergers & acquisitions']",False,False
www.vtwonen.nl,['home & interior decor'],"['shopping', 'home & garden', 'home improvement']",False,False
baskino.me,['movie & tv streaming'],"['arts & entertainment', 'movies', 'action & adventure films', 'online video']",False,False
thevillageoutlet.com,['apparel'],"[""men's clothing"", 'shopping', ""women's clothing"", ""children's clothing""]",False,False
android.com.pl,"['computers & electronics', 'news']","['computers & electronics', 'computer & video games', 'consumer electronics', 'games']",False,False
tv-programme.com,['tv & video'],"['arts & entertainment', 'tv dramas', 'tv shows & programs', 'tv soap operas']",False,False
cloud.mail.ru,"['web services', 'cloud storage', 'online communities']","['distributed & cloud computing', 'networking', 'web apps & online tools', 'computers & electronics', 'internet & telecom']",False,False
www.inter.it,['business & industrial'],"['sports', 'soccer']",False,False
www.olhonocarro.com.br,"['autos & vehicles', 'vehicle shopping']","['web apps & online tools', 'reference', 'automotive industry', 'business & industrial', 'internet & telecom']",False,False
www.bleacherbreaker.com,['arts & entertainment'],"['weather', 'news', 'local news']",False,False
survimo.com,['business & industrial'],"['jobs', 'jobs & education', 'job listings']",False,False
redmijuga.net,"['software', 'internet & telecom']","['arts & entertainment', 'entertainment industry', 'games', 'card games']",False,False
search.ancestry.com,['people & society'],"['reference', 'web apps & online tools', 'internet & telecom']",False,False
www.jollyroom.se,['babies & toddlers'],"['shopping', ""children's clothing""]",False,False
drudgereport.com,['news'],"['people & society', 'science fiction & fantasy']",False,False
suaurl.com,"['software', 'internet & telecom']","['web apps & online tools', 'jobs & education', 'jobs', 'internet & telecom', 'job listings']",False,False
www.royce.com,['arts & entertainment'],"['shopping', 'food & drink']",False,False
woman.rambler.ru,['people & society'],"['news', 'politics', 'world news']",False,False
www.ovhcloud.com,['cloud storage'],"['computers & electronics', 'networking', 'distributed & cloud computing']",False,False
